fid,powiat,woj,m,k,aprod,prod,pprod,malzenstwa,przyrost
1,złotoryjski,2,22059,22997,6451,31248,7357,4.6,-2.3
2,Legnica,2,48273,53719,13691,68317,19984,4.4,-2.3
3,jeleniogórski,2,31460,33711,8696,44540,11935,3.9,-4.4
4,górowski,2,17989,18402,5855,24457,6079,5.3,-0.7
5,oleśnicki,2,51929,54159,16488,71646,17954,4.7,0.3
6,bolesławiecki,2,43962,46344,13496,61039,15771,4.9,-0.6
7,Jelenia Góra,2,38235,43750,9601,53424,18960,3.9,-4.5
8,kłodzki,2,79465,85215,21381,109961,33338,4.5,-4.4
9,lubański,2,27287,28830,7741,38035,10341,4.4,-3.7
10,wałbrzyski,2,27855,29979,7682,38781,11371,4,-5
11,dzierżoniowski,2,49805,54808,13561,69663,21389,4.3,-4.4
12,trzebnicki,2,40735,42306,13224,56580,13237,4.2,0.2
13,głogowski,2,43979,46323,14002,61102,15198,5.1,0.9
14,Wałbrzych,2,55642,62284,14281,77848,25797,3.7,-6.1
15,wołowski,2,23268,24301,6658,32413,8498,4.9,-0.8
16,zgorzelecki,2,45397,47761,12789,63098,17271,4.5,-2.5
17,wrocławski,2,62739,65157,22366,87571,17959,4.2,3.4
18,ząbkowicki,2,33009,34866,9080,45811,12984,4.2,-4
19,oławski,2,37065,38728,11774,50919,13100,4.4,1
20,polkowicki,2,31311,31929,10259,43297,9684,5.2,2.2
21,średzki,2,25890,26555,8101,36159,8185,4.1,0.1
22,jaworski,2,25554,26516,7323,35422,9325,4.8,-2.8
23,milicki,2,18481,18839,6173,24832,6315,4.7,0.9
24,kamiennogórski,2,22017,23022,6363,30209,8467,4.4,-5
25,strzeliński,2,21973,22420,6400,30088,7905,4.4,-2.3
26,świdnicki,2,77677,83255,22215,108322,30395,4.5,-1.8
27,legnicki,2,26854,28015,8160,37498,9211,4.8,-2.5
28,Wrocław,2,294662,337405,80241,415808,136018,4.2,-0.7
29,lubiński,2,51809,54703,15308,71416,19788,5.1,0.3
30,lwówecki,2,23109,24208,6520,32462,8335,4.8,-3.7
31,Grudziądz,4,46562,51114,14169,64455,19052,4.8,-2.3
32,Toruń,4,94515,108932,27641,136227,39579,4.3,-0.3
33,Włocławek,4,54257,60628,15293,76080,23512,4.5,-2.8
34,radziejowski,4,20604,21042,6015,28074,7557,5.5,-0.8
35,nakielski,4,43116,43853,14665,59024,13280,5.1,2.4
36,rypiński,4,22130,22593,7408,29717,7598,4.3,0.1
37,tucholski,4,24093,24190,8199,32680,7404,5.6,1.3
38,golubsko-dobrzyński,4,22541,22939,7598,30642,7240,5,1
39,chełmiński,4,25801,26809,8668,35586,8356,4.8,0.1
40,grudziądzki,4,20077,20058,7098,27119,5918,5.3,1.5
41,inowrocławski,4,79475,84207,23180,111283,29219,4.6,-1.3
42,aleksandrowski,4,27099,28820,8412,37053,10454,3.7,-1.5
43,brodnicki,4,38632,39470,13369,52616,12117,5.3,2.1
44,bydgoski,4,54723,55842,19395,75605,15565,4.3,1.6
45,lipnowski,4,33431,33800,11371,45432,10428,4.9,0
46,wąbrzeski,4,17245,17789,5634,23534,5866,5.7,-0.8
47,sępoleński,4,20765,20871,7094,27839,6703,5.1,1.5
48,włocławski,4,43121,43799,13180,58790,14950,4.7,-2.2
49,świecki,4,49219,50620,16337,67691,15811,4.5,1.2
50,toruński,4,49851,51121,18491,68925,13556,5,2.7
51,żniński,4,35051,35741,11276,47620,11896,5,0.3
52,Bydgoszcz,4,169115,190313,46708,235250,77470,4.3,-1.7
53,mogileński,4,22802,23788,7092,31567,7931,5.2,-1.4
54,skierniewicki,10,18937,19355,6181,24745,7366,5.2,-2.6
55,tomaszowski,10,57514,62245,18013,77738,24008,4.3,-3.6
56,wieluński,10,37986,39734,11830,51099,14791,4.7,-1.5
57,zduńskowolski,10,32844,35084,10214,44965,12749,4,-0.6
58,wieruszowski,10,20922,21338,6727,28181,7352,5,-0.7
59,zgierski,10,78508,86173,23490,108132,33059,4.2,-3.3
60,brzeziński,10,14996,15927,4585,20399,5939,4.5,-3.7
61,Łódź,10,323708,387624,84224,454355,172753,3.9,-6.5
62,Piotrków Trybunalski,10,35683,40220,11081,49402,15420,4.5,-1.6
